,All NONE,All %,Long NONE,Long %,Short NONE,Short %
Net Profit,-4851.78,-48.52,-4851.78,-48.52,0,0
Gross Profit,1455.58,14.56,1455.58,14.56,0,0
Gross Loss,6307.36,63.07,6307.36,63.07,0,0
Max Drawdown,5631.47,52.24,,,,
Buy & Hold Return,-1320.03,-13.2,,,,
Sharpe Ratio,-0.113,,,,,
Sortino Ratio,-0.117,,,,,
Profit Factor,0.231,,0.231,,N/A,
Max Contracts Held,1,,1,,0,
Open PL,0,0,,,,
Commission Paid,0,,0,,0,
Total Closed Trades,3,,3,,0,
Total Open Trades,0,,0,,0,
Number Winning Trades,1,,1,,0,
Number Losing Trades,2,,2,,0,
Percent Profitable,33.33,,33.33,,N/A,
Avg Trade,-1617.26,-16.17,-1617.26,-16.17,N/A,N/A
Avg Winning Trade,1455.58,14.56,1455.58,14.56,N/A,N/A
Avg Losing Trade,3153.68,31.54,3153.68,31.54,N/A,N/A
Ratio Avg Win / Avg Loss,0.462,,0.462,,N/A,
Largest Winning Trade,1455.58,3,1455.58,3,N/A,N/A
Largest Losing Trade,5631.47,13.28,5631.47,13.28,N/A,N/A
Avg # Bars in Trades,205,,205,,0,
Avg # Bars in Winning Trades,360,,360,,0,
Avg # Bars in Losing Trades,127,,127,,0,
Margin Calls,0,,0,,0,
