,All NONE,All %,Long NONE,Long %,Short NONE,Short %
Net Profit,1108.88,11.09,1108.88,11.09,0,0
Gross Profit,1108.88,11.09,1108.88,11.09,0,0
Gross Loss,0,0,0,0,0,0
Max Drawdown,0,0,,,,
Buy & Hold Return,1956.70,19.57,,,,
Sharpe Ratio,-0.19,,,,,
Sortino Ratio,-0.191,,,,,
Profit Factor,N/A,,N/A,,N/A,
Max Contracts Held,1,,1,,1,
Open PL,-5745.05,-51.72,,,,
Commission Paid,0,,0,,0,
Total Closed Trades,1,,1,,0,
Total Open Trades,1,,0,,1,
Number Winning Trades,1,,1,,0,
Number Losing Trades,0,,0,,0,
Percent Profitable,100,,100,,N/A,
Avg Trade,1108.88,11.09,1108.88,11.09,N/A,N/A
Avg Winning Trade,1108.88,11.09,1108.88,11.09,N/A,N/A
Avg Losing Trade,N/A,N/A,N/A,N/A,N/A,N/A
Ratio Avg Win / Avg Loss,N/A,,N/A,,N/A,
Largest Winning Trade,1108.88,3,1108.88,3,N/A,N/A
Largest Losing Trade,N/A,N/A,N/A,N/A,N/A,N/A
Avg # Bars in Trades,641,,641,,0,
Avg # Bars in Winning Trades,641,,641,,0,
Avg # Bars in Losing Trades,0,,0,,0,
Margin Calls,0,,0,,0,
