,All NONE,All %,Long NONE,Long %,Short NONE,Short %
Net Profit,-2147.76,-21.48,-2147.76,-21.48,0,0
Gross Profit,0,0,0,0,0,0
Gross Loss,2147.76,21.48,2147.76,21.48,0,0
Max Drawdown,2147.76,21.48,,,,
Buy & Hold Return,-2456.74,-24.57,,,,
Sharpe Ratio,N/A,,,,,
Sortino Ratio,N/A,,,,,
Profit Factor,0,,0,,N/A,
Max Contracts Held,1,,1,,0,
Open PL,0,0,,,,
Commission Paid,0,,0,,0,
Total Closed Trades,1,,1,,0,
Total Open Trades,0,,0,,0,
Number Winning Trades,0,,0,,0,
Number Losing Trades,1,,1,,0,
Percent Profitable,0,,0,,N/A,
Avg Trade,-2147.76,-21.48,-2147.76,-21.48,N/A,N/A
Avg Winning Trade,N/A,N/A,N/A,N/A,N/A,N/A
Avg Losing Trade,2147.76,21.48,2147.76,21.48,N/A,N/A
Ratio Avg Win / Avg Loss,0,,0,,N/A,
Largest Winning Trade,N/A,N/A,N/A,N/A,N/A,N/A
Largest Losing Trade,2147.76,3.67,2147.76,3.67,N/A,N/A
Avg # Bars in Trades,8,,8,,0,
Avg # Bars in Winning Trades,0,,0,,0,
Avg # Bars in Losing Trades,8,,8,,0,
Margin Calls,0,,0,,0,
